Strategy Name,Ticker,Model Name,Model Number,Feature Set ID,Accuracy,Precision,Recall,F1 Score,Confusion Matrix
logistic_regression,MSFT,lr,8,FS_8,0.4273,0.4632,0.4273,0.4304,"29    56    29
20    63    29
43    71    93"
random_forest,MSFT,rf,8,FS_8,0.4315,0.4588,0.4315,0.4279,"63    12    26
33    40    31
72    50    67"
xgboost,MSFT,xgb,8,FS_8,0.4061,0.4368,0.4061,0.3987,"65    16    20
33    36    35
84    46    59"
logistic_regression,AAPL,lr,8,FS_8,0.3788,0.4946,0.3788,0.381,"29    45    32
2    57    14
55    121    78"
random_forest,AAPL,rf,8,FS_8,0.4112,0.4884,0.4112,0.434,"32    9    45
28    19    24
109    17    111"
xgboost,AAPL,xgb,8,FS_8,0.3528,0.4772,0.3528,0.3719,"44    12    30
36    18    17
135    25    77"
logistic_regression,GOOG,lr,8,FS_8,0.3926,0.3814,0.3926,0.3857,"24    25    71
22    41    47
50    48    105"
random_forest,GOOG,rf,8,FS_8,0.4467,0.4887,0.4467,0.4513,"52    8    39
46    32    29
73    23    92"
xgboost,GOOG,xgb,8,FS_8,0.4036,0.4471,0.4036,0.4069,"54    8    37
51    31    25
79    35    74"
logistic_regression,META,lr,8,FS_8,0.3649,0.4013,0.3649,0.3673,"24    52    60
13    38    24
48    78    96"
random_forest,META,rf,8,FS_8,0.4569,0.4689,0.4569,0.46,"57    17    46
17    19    31
76    27    104"
xgboost,META,xgb,8,FS_8,0.4112,0.4321,0.4112,0.4149,"55    13    52
21    19    27
94    25    88"
logistic_regression,ORCL,lr,8,FS_8,0.4388,0.4762,0.4388,0.445,"53    31    33
74    59    33
54    18    78"
random_forest,ORCL,rf,8,FS_8,0.4086,0.3972,0.4086,0.3971,"27    37    40
39    46    61
23    33    88"
xgboost,ORCL,xgb,8,FS_8,0.368,0.3582,0.368,0.3577,"25    37    42
36    41    69
28    37    79"
logistic_regression,ADBE,lr,8,FS_8,0.5358,0.537,0.5358,0.5199,"31    17    76
5    45    29
25    49    156"
